,경도,위도,행정동코드
43974,126.731,35.727,45800250
43975,126.755,35.7272,45800250
43976,126.732,35.7223,45800250
43977,126.729,35.72,45800250
43978,126.73,35.7316,45800250
43979,126.737,35.7269,45800250
43980,126.739,35.7266,45800250
43981,126.532,35.6816,45800360
43982,126.569,35.6783,45800360
43983,126.508,35.5827,45800360
43984,126.468,35.6247,45800360
43985,126.471,35.6282,45800360
43986,126.612,35.5887,45800370
43987,126.608,35.5864,45800370
43988,126.588,35.6172,45800370
43989,126.808,35.7186,45800380
43990,126.669,35.5809,45800410
43991,126.731,35.7348,45800250
43992,126.471,35.6243,45800360
43993,126.492,35.5866,45800360
43994,127.14,35.3769,45770250
43995,126.969,35.9315,45140111
43996,126.978,35.9544,45140122
43997,126.957,35.9628,45140121
43998,126.957,35.9468,45140113
43999,126.953,35.9574,45140121
44000,126.955,35.9518,45140113
44001,126.981,35.957,45140123
44002,126.954,35.9596,45140121
44003,126.976,35.9574,45140122
44004,126.972,35.9562,45140122
44005,126.953,35.9446,45140113
44006,126.948,35.9445,45140102
44007,126.951,35.9444,45140113
44008,127.137,35.3743,45770250
44009,127.142,35.3734,45770250
44010,127.143,35.3748,45770250
44011,127.148,35.3745,45770250
44012,127.139,35.3752,45770250
44013,127.15,35.3768,45770250
44014,127.135,35.3766,45770250
44015,127.141,35.3769,45770250
44016,127.148,35.3743,45770250
44017,127.141,35.3749,45770250
44018,126.981,35.4921,45770360
44019,127.003,35.5021,45770360
44020,126.932,35.4312,45770370
44021,126.92,35.4559,45770370
44022,127.138,35.3376,45770330
44023,127.087,35.3396,45770340
44024,127.139,35.3753,45770250
44025,127.21,35.3989,45770380
44026,127.24,35.4407,45770320
44027,127.159,35.4146,45770310
44028,127.189,35.3622,45770390
44029,126.657,35.9697,45130151
44030,126.685,35.9734,45130146
44031,126.424,35.8038,45130390
44032,126.399,35.8115,45130390
44033,126.744,35.9789,45130134
44034,126.735,35.9707,45130134
44035,126.75,35.9753,45130134
44036,126.713,35.9858,45130117
44037,126.737,35.9814,45130136
44038,126.731,35.9726,45130134
44039,126.71,35.9658,45130144
44040,126.691,35.9672,45130144
44041,126.689,35.9554,45130144
44042,126.699,35.9621,45130144
44043,126.702,35.9593,45130144
44044,126.708,35.9689,45130144
44045,126.71,35.9673,45130144
44046,126.817,35.9453,45130350
44047,126.424,35.8037,45130390
44048,126.438,35.8087,45130390
44049,126.716,35.9794,45130129
44050,126.528,35.9378,45130148
44051,126.682,35.9672,45130151
44052,126.677,35.9631,45130151
44053,126.711,35.9799,45130112
44055,126.741,35.8218,45210460
44057,126.768,36.0218,45130370
44058,126.758,36.0134,45130370
